[2025-05-30 16:09:37] Vision Assistant started by unknown at 2025-05-30 16:09:37
[2025-05-30 16:09:39] Text-to-speech initialized successfully
[2025-05-30 16:09:39] Voice recognition initialized successfully
[2025-05-30 16:09:50] Camera started
[2025-05-30 16:10:02] Mode changed to: Navigation Assistant
[2025-05-30 16:10:36] Mode changed to: Depth Estimation
[2025-05-30 16:10:36] Speech error: run loop already started
[2025-05-30 16:10:41] Mode changed to: Object Detection
[2025-05-30 16:10:41] Speech error: run loop already started
[2025-05-30 16:10:41] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:42] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:43] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:44] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:45] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Mode changed to: Face Analysis
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:46] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:47] Speech error: run loop already started
[2025-05-30 16:10:48] Speech error: run loop already started
[2025-05-30 16:10:48] Speech error: run loop already started
[2025-05-30 16:10:48] Speech error: run loop already started
[2025-05-30 16:10:48] Speech error: run loop already started
[2025-05-30 16:10:48] Mode changed to: Environment Description
[2025-05-30 16:10:48] Speech error: run loop already started
[2025-05-30 16:10:49] Speech error: run loop already started
[2025-05-30 16:10:49] Speech error: run loop already started
[2025-05-30 16:10:49] Speech error: run loop already started
[2025-05-30 16:10:49] Speech error: run loop already started
[2025-05-30 16:10:49] Speech error: run loop already started
[2025-05-30 16:10:50] Speech error: run loop already started
[2025-05-30 16:10:50] Speech error: run loop already started
[2025-05-30 16:10:50] Speech error: run loop already started
[2025-05-30 16:10:50] Speech error: run loop already started
[2025-05-30 16:10:51] Speech error: run loop already started
[2025-05-30 16:10:51] Speech error: run loop already started
[2025-05-30 16:10:51] Speech error: run loop already started
[2025-05-30 16:10:51] Speech error: run loop already started
[2025-05-30 16:10:52] Speech error: run loop already started
[2025-05-30 16:10:52] Speech error: run loop already started
[2025-05-30 16:10:52] Speech error: run loop already started
[2025-05-30 16:10:53] Speech error: run loop already started
[2025-05-30 16:10:53] Speech error: run loop already started
[2025-05-30 16:10:53] Speech error: run loop already started
[2025-05-30 16:10:53] Speech error: run loop already started
[2025-05-30 16:10:54] Speech error: run loop already started
[2025-05-30 16:10:54] Speech error: run loop already started
[2025-05-30 16:10:54] Speech error: run loop already started
[2025-05-30 16:10:54] Speech error: run loop already started
[2025-05-30 16:10:55] Speech error: run loop already started
[2025-05-30 16:10:55] Speech error: run loop already started
[2025-05-30 16:10:55] Speech error: run loop already started
[2025-05-30 16:10:55] Speech error: run loop already started
[2025-05-30 16:10:56] Speech error: run loop already started
[2025-05-30 16:10:56] Speech error: run loop already started
[2025-05-30 16:10:57] Camera stopped
[2025-05-30 16:10:59] Application cleanup completed
[2025-05-30 16:14:30] Vision Assistant started by unknown at 2025-05-30 16:14:30
[2025-05-30 16:20:54] Vision Assistant started by mmprateek1 at 2025-05-30 16:20:54
[2025-05-30 16:20:56] Text-to-speech initialized successfully
[2025-05-30 16:20:56] Voice recognition initialized successfully
[2025-05-30 16:21:05] Camera started
[2025-05-30 16:21:16] Mode changed to: Navigation Assistant
[2025-05-30 16:22:00] Mode changed to: Environment Description
[2025-05-30 16:22:00] Speech error: run loop already started
[2025-05-30 16:22:00] Speech error: run loop already started
[2025-05-30 16:22:01] Speech error: run loop already started
[2025-05-30 16:22:01] Speech error: run loop already started
[2025-05-30 16:22:01] Speech error: run loop already started
[2025-05-30 16:22:02] Speech error: run loop already started
[2025-05-30 16:22:02] Speech error: run loop already started
[2025-05-30 16:22:02] Speech error: run loop already started
[2025-05-30 16:22:02] Speech error: run loop already started
[2025-05-30 16:22:03] Speech error: run loop already started
[2025-05-30 16:22:05] Speech error: run loop already started
[2025-05-30 16:22:05] Speech error: run loop already started
[2025-05-30 16:22:05] Speech error: run loop already started
[2025-05-30 16:22:06] Speech error: run loop already started
[2025-05-30 16:22:06] Speech error: run loop already started
[2025-05-30 16:22:07] Speech error: run loop already started
[2025-05-30 16:22:07] Speech error: run loop already started
[2025-05-30 16:22:07] Speech error: run loop already started
[2025-05-30 16:22:07] Speech error: run loop already started
